"Nome","Cognome","Squadra"
"Gian Piero","Gasperini","Atalanta"
"Sinisa","Mihajlovic","Bologna"
"Diego","Lopez","Brescia"
"Walter","Zenga","Cagliari"
"Giuseppe","Iachini","Fiorentina"
"Davide","Nicola","Genoa"
"Ivan","Juric","Hellas Verona"
"Antonio","Conte","Inter"
"Maurizio","Sarri","Juventus"
"Simone","Inzaghi","Lazio"
"Fabio","Liverani","Lecce"
"Stefano","Pioli","Milan"
"Gennaro","Gattuso","Napoli"
"Roberto","D'Aversa","Parma"
"Paulo","Fonseca","Roma"
"Claudio","Ranieri","Sampdoria"
"Roberto","De Zerbi","Sassuolo"
"Luigi","Di Biagio","SPAL"
"Moreno","Longo","Torino"
"Luca","Gotti","Udinese"
