S_casa,S_trasferta,Gol_casa,Gol_trasferta,MarC1,MarC2,MarC3,MarC4,MarC5,MarT1,MarT2,MarT3,MarT4,MarT5,AssC1,AssC2,AssC3,AssC4,AssC5,AssT1,AssT2,AssT3,AssT4,AssT5,TitC1,TitC2,TitC3,TitC4,TitC5,TitC6,TitC7,TitC8,TitC9,TitC10,TitC11,TitT1,TitT2,TitT3,TitT4,TitT5,TitT6,TitT7,TitT8,TitT9,TitT10,TitT11,SC1,SC2,SC3,ST1,ST2,ST3
Atalanta,Juventus,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan,Napoli,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torino,Inter,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bologna,Parma,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma,Brescia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sassuolo,Lazio,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verona,Fiorentina,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampdoria,Udinese,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecce,Cagliari,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spal,Genoa,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
