nm,no,co,ru,data,pg,g,a
95,Pierluigi,Gollini,portiere,1995-03-18,,,
57,Marco,Sportiello,portiere,1992-05-10,,,
31,Francesco,Rossi,portiere,1991-04-27,,,
2,Rafael,Toloi,difensore,1990-10-10,,,
19,Berat,Djimsiti,difensore,1993-02-19,,,
3,Mattia,Caldara,difensore,1994-05-05,,,
6,Josè Luis,Palomino,difensore,1990-01-05,,,
4,Bosko,Sutalo,difensore,2000-01-01,,,
8,Robin,Gosens,difensore,1994-07-02,,,
7,Lennart,Czyborra,difensore,1999-05-03,,,
21,Timothy,Castagne,difensore,1995-12-05,,,
33,Hans,Hateboer,difensore,1994-01-09,,,
22,Raoul,Bellanova,difensore,2000-05-17,,,
15,Marten,de Roon,centrocampista,1991-03-29,,,
5,Adrien,Tameze,centrocampista,1994-02-04,,,
11,Remo,Freuler,centrocampista,1992-04-15,,,
88,Mario,Pasalic,centrocampista,1995-02-09,,,
18,Ruslan,Malinovskyi,centrocampista,1993-05-04,,,
72,Josip,Ilicic,attaccante,1988-01-29,,,
10,Alejandro,Gomez,attaccante,1988-02-15,,,
91,Duvan,Zapata,attaccante,1991-04-01,,,
9,Luis,Muriel,attaccante,1991-04-16,,,
17,Roberto,Piccoli,attaccante,2001-01-27,,,
797,Amad,Traore,attaccante,2002-07-11,,,
