nm,n,c,r,d,pg,g,a
28,Lukasz,Skorupski,portiere,1991-05-05,,,
1,Angelo,da Costa,portiere,1983-11-12,,,
97,Mouhamdou,Sarr,portiere,1997-01-05,,,
20,Sebastian,Breza,portiere,1998-03-05,,,
4,Stefano,Denswil,difensore,1993-05-07,,,
13,Mattia,Bani,difensore,1993-12-10,,,
25,Gabriele,Corbo,difensore,2000-01-11,,,
23,,Danilo,difensore,1984-05-10,,,
35,Mitchell,Dijks,difensore,1993-02-09,,,
14,Takehiro,Tomiyasu,difensore,1998-11-05,,,
15,Ibrahima,Mbaye,difensore,1994-11-19,,,
5,Gary,Medel,centrocampista,1987-08-03,,,
8,Nicolas,Dominguez,centrocampista,1998-06-28,,,
21,Roberto,Soriano,centrocampista,1991-02-08,,,
32,Mattias,Svanberg,centrocampista,1999-01-05,,,
30,Jerdy,Schouten,centrocampista,1997-01-12,,,
16,Andrea,Poli,centrocampista,1989-09-29,,,
10,Nicola,Sansone,attaccante,1991-09-10,,,
11,Ladislav,Krejci,attaccante,1992-07-05,,,
7,Riccardo,Orsolini,attaccante,1997-01-24,,,
17,Andreas,Skov Olson,attaccante,1999-12-29,,,
99,Musa,Barrow,attaccante,1998-11-14,,,
9,Federico,Santander,attaccante,1991-06-04,,,
24,Rodrigo,Palacio,attaccante,1982-02-05,,,
