nm,n,c,r,d,pg,g,a
1,Jesse,Joronen,portiere,1993-03-21,,,
22,Enrico,Alfonso,portiere,1988-04-04,,,
12,Lorenzo,Andrenacci,portiere,1995-01-02,,,
15,Andrea,Cistana,difensore,1997-04-01,,,
14,Jhon,Chancellor,difensore,1992-01-02,,,
5,Daniele,Gastaldello,difensore,1983-06-25,,,
19,Massimiliano,Mangraviti,difensore,1998-01-24,,,
3,Ales,Mateju,difensore,1996-06-03,,,
26,Bruno,Martella,difensore,1992-08-14,,,
2,Stefano,sabelli,difensore,1993-01-13,,,
29,Alessandro,Semprini,difensore,1998-02-24,,,
4,Sandro,Tonali,centrocampista,2000-05-08,,,
24,Mattia,Viviani,centrocampista,2000-09-04,,,
25,Dimitri,Bisoli,centrocampista,1994-03-25,,,
6,Emanuele,Ndoj,centrocampista,1996-11-20,,,
28,,Romulo,centrocampista,1987-05-22,,,
31,Birkir,Bjarnason,centrocampista,1988-05-27,,,
27,Daniele,Dessena,centrocampista,1987-05-10,,,
8,Jaromir,Zmrhal,centrocampista,1993-08-02,,,
7,Nikolas,Spalek,centrocampista,1997-02-12,,,
45,Mario,Balotelli,attaccante,1990-08-12,,,
9,Alfredo,Donnarumma,attaccante,1990-11-30,,,
11,Ernesto,Torregrossa,attaccante,1992-06-28,,,
23,Simon,Skrabb,attaccante,1995-01-19,,,
18,Florian,Ayé,attaccante,1997-01-19,,,
