nm,n,c,r,d,pg,g,a
28,Alessio,Cragno,portiere,1994-06-28,,,
90,Robin,Olsen,portiere,1990-01-08,,,
1,,Rafael,portiere,1982-03-03,,,
40,Sebastian,Walukiewicz,difensore,2000-04-05,,,
23,Luca,Ceppitelli,difensore,1989-08-11,,,
15,Ragnar,Klavan,difensore,1985-10-30,,,
19,Fabio,Pisacane,difensore,1986-01-28,,,
33,Luca,Pellegrini,difensore,1999-03-07,,,
22,Charalampos,Lykogiannis,difensore,1993-10-22,,,
24,Paolo,Faragò,difensore,1993-02-12,,,
3,Federico,Mattiello,difensore,1995-07-14,,,
12,Fabrizio,Cacciatore,difensore,1986-10-08,,,
17,Christian,Oliva,centrocampista,1996-06-01,,,
8,Luca,Cigarini,centrocampista,1986-06-20,,,
18,Nahitan,Nandez,centrocampista,1995-12-28,,,
6,Marko,Rog,centrocampista,1995-07-19,,,
21,Artur,Ionita,centrocampista,1990-08-17,,,
4,Radja,Nianggolan,centrocampista,1988-05-04,,,
20,Gaston,Pereiro,centrocampista,1995-06-11,,,
14,Valter,Birsa,centrocampista,1986-08-07,,,
10,,Joao Pedro,attaccante,1992-03-09,,,
26,Daniele,Ragatzu,attaccante,1991-09-21,,,
99,Giovanni,Simeone,attaccante,1995-07-05,,,
30,Leonardo,Pavoletti,attaccante,1988-11-26,,,
9,Alberto,Paloshi,attaccante,1990-01-04,,,
