nm,n,c,r,d,pg,g,a
69,Bartlomiej,Dragowski,portiere,1997-08-19,,,
1,Pietro,Terraciano,portiere,1990-03-08,,,
33,Federico,Brancolini,portiere,2001-07-14,,,
4,Nikola,Milenkovic,difensore,1997-10-12,,,
20,German,Pezzella,difensore,1991-06-27,,,
3,,Igor,difensore,1998-02-07,,,
17,Federico,Ceccherini,difensore,1992-05-11,,,
22,Martin,Caceres,difensore,1987-04-07,,,
29,,Dalbert,difensore,1993-09-08,,,
93,Aleksa,Terzic,difensore,1999-08-17,,,
21,Paul,Lirola,difensore,1997-08-13,,,
23,Lorenzo,Venuti,difensore,1995-04-12,,,
78,Erick,Pulgar,centrocampista,1994-01-15,,,
5,Milan,Badelj,centrocampista,1989-02-25,,,
8,Gaetano,Castrovilli,centrocampista,1997-02-17,,,
88,Alfred,Duncan,centrocampista,1993-03-10,,,
24,Marco,Benassi,centrocampista,1994-09-08,,,
19,Kevin,Agudelo,centrocampista,1998-11-14,,,
7,Franck,Ribery,attaccante,1983-04-07,,,
11,Riccardo,Sottil,attaccante,1999-06-03,,,
25,Federico,Chiesa,attaccante,1997-10-25,,,
18,Rachid,Ghezzal,attaccante,1992-05-09,,,
77,Cyril,Thereau,attaccante,1983-04-24,,,
9,Christian,Koume,attaccante,1997-12-06,,,
28,Dusan,Vlahovic,attaccante,2000-01-28,,,
63,Patrick,Cutrone,attaccante,1998-01-03,,,
