nm,n,c,r,d,pg,g,a
1,Mattia,Perin,portiere,1992-11-10,,,
13,Salvador,Ichazo,portiere,1992-01-26,,,
22,Federico,Marchetti,portiere,1983-02-07,,,
17,Cristian,Romero,difensore,1998-04-27,,,
92,Adama,Soumaoro,difensore,1992-06-18,,,
14,Davide,Biraschi,difensore,1994-07-02,,,
2,Cristian,Zapata,difensore,1986-09-30,,,
5,Edoardo,Goldaniga,difensore,1993-11-02,,,
55,Andrea,Masiello,difensore,1986-02-05,,,
3,Antonio,Barreca,difensore,1995-03-18,,,
4,Domenico,Criscito,difensore,1986-12-30,,,
18,Paolo,Ghiglione,difensore,1997-02-02,,,
32,Peter,Ankersen,difensore,1990-09-22,,,
20,Lasse,Schone,centrocampista,1986-05-27,,,
21,Ivan,Radovanovic,centrocampista,1988-08-29,,,
16,Sebastian,Eriksson,centrocampista,1989-01-31,,,
85,Valon,Behrami,centrocampista,1985-04-19,,,
27,Stefano,Sturaro,centrocampista,1993-03-09,,,
8,Lukas,Lerager,centrocampista,1993-07-12,,,
29,Francesco,Cassata,centrocampista,1997-07-16,,,
15,Filip,Jagiello,centrocampista,1997-08-08,,,
33,Marko,Pajac,centrocampista,1993-05-11,,,
10,Iago,Falque,attaccante,1990-01-04,,,
19,Goran,Pandev,attaccante,1983-07-27,,,
99,Andrea,Pinamonti,attaccante,1996-03-04,,,
9,Antonio,Sanabria,attaccante,1996-03-04,,,
30,Andrea,Favilli,attaccante,1997-05-17,,,
23,Mattia,Destro,attaccante,1991-03-20,,,
