nm,n,c,r,d,pg,g,a
1,Marco,Silvestri,portire,1991-05-02,,,
96,Boris,Raduvanovic,portire,1996-05-26,,,
22,Alesasndro,Berardi,portire,1991-01-16,,,
24,Marash,Kumbulla,difensore,2000-02-08,,,
13,Amir,Rrahmani,difensore,1994-02-24,,,
21,Koray,Gunter,difensore,1994-08-16,,,
17,Pawel,Dawidowicz,difensore,1995-05-20,,,
15,Salvatore,Bocchetti,difensore,1986-11-30,,,
33,Alan,Empereur,difensore,1994-05-10,,,
6,Matteo,Lovato,difensore,2000-02-14,,,
23,Federico,Dimarco,difensore,1997-11-10,,,
5,Davide,Faraoni,difensore,1991-10-25,,,
98,Claud,Adjapong,difensore,1998-05-06,,,
4,Miguel,Veloso,centrocampista,1986-05-11,,,
25,Andrea,Danzi,centrocampista,1999-02-25,,,
34,Sofyan,Ammrabat,centrocampista,1996-08-21,,,
32,Matteo,Pessina,centrocampista,1997-04-21,,,
20,Mattia,Zaccagni,centrocampista,1995-06-16,,,
7,Emmanuel,Badu,centrocampista,1990-12-02,,,
18,,Lucas Felippe,centrocampista,2000-05-03,,,
88,Darko,Lazovic,centrocampista,1990-09-15,,,
14,Valerio,Verre,centrocampista,1994-01-11,,,
8,Valentin,Eyserric,centrocampista,1992-03-25,,,
16,Fadio,Borini,attaccante,1991-03-29,,,
29,Eddie,Salcedo,attaccante,2001-10-01,,,
9,NMAriusz,Stepinski,attaccante,1995-05-12,,,
10,Samuel,Di Carmine,attaccante,1988-09-29,,,
11,Giampaolo,Pazzini,attaccante,1984-08-02,,,
