Numero maglia,Nome,Cognome,Ruolo,Data di nascita,Partite giocate,Gol,Assist
30,Sebastiano,Esposito,attaccante,2002-07-02,6,1,0
7,Alexis,Sanchez,attaccante,1988-12-19,8,1,1
9,Romelu,Lukaku,attaccante,1993-05-13,24,17,1
10,Lautaro,Martinez,attaccante,1997-08-22,22,11,1
5,Roberto,Gagliardini,centrocampista,1994-04-07,12,2,0
8,Matias,Vecino,centrocampista,1991-08-24,18,2,1
11,Victor,Moses,centrocampista,1990-12-12,3,0,1
12,Stefano,Sensi,centrocampista,1995-08-05,12,3,1
15,Ashley,Young,centrocampista,1985-07-09,4,1,1
18,Kwadwo,Asamoah,centrocampista,1988-12-09,8,0,1
20,Borja,Valero,centrocampista,1985-01-12,9,1,0
23,Nicolò,Barella,centrocampista,1997-07-02,20,1,3
24,Christian,Eriksen,centrocampista,1992-02-14,3,0,0
77,Marcelo,Brozovic,centrocampista,1992-11-16,23,3,5
87,Antonio,Candreva,centrocampista,1987-02-28,20,2,5
2,Diego,Godin,difensore,1986-02-16,16,0,1
6,Stefan,de Vrij,difensore,1992-02-05,22,2,1
13,Andrea,Ranocchia,difensore,1988-02-16,2,0,0
33,Danilo,D'ambrosio,difensore,1988-09-09,12,1,0
34,Cristiano,Biraghi,difensore,1992-09-01,16,0,3
37,Milan,Skriniar,difensore,1995-02-11,24,0,0
95,Alessandro,Bastoni,difensore,1999-04-13,13,1,0
1,Samir,Handanovic,portiere,1984-07-14,22,0,0
27,Daniele,Padelli,portiere,1985-10-29,3,0,0
46,Tommaso,Berni,portiere,1983-03-06,0,0,0
