nm,n,c,r,d,pg,g,a
1,Thomas,Strakosha,portiere,1995-03-19,,,
24,Silvio,Proto,portiere,1983-05-23,,,
23,Guido,Guerrieri,portiere,1996-02-25,,,
3,,Luiz Felipe,difensore,1997-03-22,,,
33,Francesco,Acerbi,difensore,1988-02-10,,,
4,,Patric,difensore,1993-04-17,,,
93,Denis,Vavro,difensore,1996-04-10,,,
26,Stefan,Radu,difensore,1986-10-22,,,
15,,Bastos,difensore,1991-03-27,,,
13,Nicolò,Armini,difensore,2001-03-07,,,
49,Segej,Joreg Silva,difensore,1999-02-02,,,
5,Jordan,Lukaku,difensore,1994-07-25,,,
6,Lucas,Leiva,centrocampista,1987-01-09,,,
21,Sergej,Milinkovic-Savic,centrocampista,1995-02-27,,,
32,Danilo,Cataldi,centrocampista,1994-08-06,,,
16,Marco,Parolo,centrocampista,1985-01-25,,,
29,Manuel,Lazzari,centrocampista,1993-11-29,,,
77,Adam,Marusic,centrocampista,1992-10-17,,,
8,Djavan,Anderson,centrocampista,1995-04-21,,,
22,,Jony,centrocampista,1991-07-09,,,
19,Senad,Lulic,centrocampista,1986-01-18,,,
10,,Luis Alberto,centrocampista,1992-09-28,,,
28,Andrè,Anderson,centrocampista,1999-09-23,,,
34,Bobby,Adekanye,attaccante,1999-02-14,,,
11,Joaquin,Correa,attaccante,1994-08-13,,,
17,Ciro,Immobile,attaccante,1990-02-20,,,
20,Felipe,Caicedo,attaccante,1988-09-05,,,
