nm,n,c,r,d,pg,g,a
21,,Gabriel,portiere,1992-09-27,,,
22,Mauro,Vigorito,portiere,1990-05-22,,,
97,Gianmarco,Chironi,portiere,1997-09-07,,,
5,Fabio,Lucioni,difensore,1997-09-25,,,
16,Biagio,Meccariello,difensore,1991-03-27,,,
13,Luca,Rossettini,difensore,1985-05-09,,,
6,Nehuen,Paz,difensore,1993-04-28,,,
27,Marco,Calderoni,difensore,1989-02-18,,,
39,Cristian,Dell’Orco,difensore,1994-02-10,,,
3,Brayan,Vera,difensore,1999-01-15,,,
7,Giulio,Donati,difensore,1990-02-05,,,
29,Andrea,Rispoli,difensore,1988-09-29,,,
4,Jacopo,Petriccione,centrocampista,1991-02-15,,,
77,Panagiotis,Tachtsidis,centrocampista,1994-12-03,,,
72,Antonin,Barak,centrocampista,1994-12-03,,,
11,Yevgen,Shakhov,centrocampista,1990-11-30,,,
37,Zen,Majer,centrocampista,1992-07-25,,,
14,Alessandro,Deiola,centrocampista,1995-08-01,,,
18,Riccardo,Saponara,centrocampista,1991-12-21,,,
8,Marco,Mancosu,centrocampista,1988-08-22,,,
17,Diego,Farias,attaccante,1990-05-10,,,
10,Filippo,Falco,attaccante,1992-02-11,,,
30,Khouma,Babacar,attaccante,1993-03-17,,,
9,Gianluca,Lapadula,attaccante,1990-02-07,,,
