nm,n,c,r,d,pg,g,a
1,Alex,Meret,portiere,1997-03-22,,,
25,David,Ospina,portiere,1988-08-31,,,
27,Orestis,Karnezis,portiere,1985-07-11,,,
26,Kalidou,Koulibaly,difensore,1991-06-20,,,
44,Konstantinos,Manolas,difensore,1991-06-14,,,
19,Nikola,Maksimovic,difensore,1991-11-25,,,
13,Sebastiano,Luperto,difensore,1996-09-06,,,
6,Mario,Rui,difensore,1991-05-27,,,
31,Faouzi,Ghoulam,difensore,1991-02-01,,,
22,Giovanni,Di Lorenzo,difensore,1993-08-04,,,
23,Elseid,Hysaj,difensore,1994-02-02,,,
2,Kebìvin,Malcuit,difensore,1991-07-31,,,
68,Stanislav,Lobotka,centrocampista,1994-11-25,,,
4,Diego,Demme,centrocampista,1991-11-21,,,
8,Fabian,Ruiz,centrocampista,1996-04-03,,,
5,,Allan,centrocampista,1991-01-08,,,
20,Piotr,Zielinski,centrocampista,1994-05-20,,,
12,Eljif,Elmas,centrocampista,1999-09-24,,,
24,Lorenzo,Insigne,attaccante,1991-06-04,,,
11,Hirving,Lozano,attaccante,1995-07-20,,,
34,Amin,Younes,attaccante,1993-08-06,,,
21,Matteo,Politano,attaccante,1993-08-03,,,
7,Jose Maria,Callejon,attaccante,1987-02-11,,,
99,Arkadiusz,Milik,attaccante,1994-02-28,,,
14,Dries,Mertens,attaccante,1987-05-06,,,
9,Fernando,Llorente,attaccante,1985-02-26,,,
