nm,n,c,r,d,pg,g,a
92,Ionut,Radu,portiere,1997-05-28,,,
1,Luigi,Sepe,portiere,1991-05-08,,,
34,Simone,Colombini,portiere,1991-07-01,,,
2,Simone,Iacoponi,difensore,1987-04-30,,,
3,Kastriot,Demarku,difensore,1992-01-15,,,
22,Bruno,Alves,difensore,1981-11-27,,,
5,Vasco,Regini,difensore,1990-09-09,,,
28,Riccardo,Gagliolo,difensore,1990-04-28,,,
97,Giuseppe,Pezzella,difensore,1997-11-29,,,
36,Matteo,darmian,difensore,1989-12-02,,,
16,Vincent,Laurini,difensore,1989-06-10,,,
10,,Hernani,centrocampista,1994-03-27,,,
15,Gaston,Brugman,centrocampista,1992-09-07,,,
21,Matteo,Scozzarella,centrocampista,1988-06-05,,,
8,Alberto,Grassi,centrocampista,1995-03-07,,,
33,Juraj,Kucka,centrocampista,1987-02-26,,,
19,Jasmin,Kurtic,centrocampista,1989-01-10,,,
17,Antonino,Barillà,centrocampista,1988-04-01,,,
27,,Gervinho,attaccante,1987-05-27,,,
44,Dejan,Kulusevski,attaccante,2000-04-25,,,
7,Yann,Karamoh,attaccante,1998-07-08,,,
93,Mattia,Sprocati,attaccante,1993-04-28,,,
26,Luca,Siligardi,attaccante,1988-01-26,,,
20,Gianluca,Caprari,attaccante,1993-07-30,,,
9,Roberto,Inglese,attaccante,1991-11-12,,,
11,Andreas,Corenelius,attaccante,1993-03-16,,,
88,Andrea,Adorante,attaccante,2000-02-05,,,
