nm,n,c,r,d,pg,g,a
13,Pau,Lopez,portiere,1994-12-13,,,
83,AntonioDaniel,Mirante,portiere,1983-07-08,,,
63,Daniel,Fuzato,portiere,1997-07-04,,,
23,Gianluca,Mancini,difensore,1996-04-17,,,
6,Chris,Smalling,difensore,1989-11-22,,,
5,,Juan Jesus,difensore,1991-06-10,,,
20,Fazio,Fazio,difensore,1987-03-17,,,
15,Mert,Cetin,difensore,1997-01-01,,,
41,Roger,Ibanez,difensore,1998-11-23,,,
37,Leonardo,Spinazzola,difensore,1993-03-25,,,
11,Aleksander,Kolarov,difensore,1985-11-10,,,
2,Davide,Zappacosta,difensore,1992-06-11,,,
18,Daniele,Santon,difensore,1991-01-02,,,
33,Bruno,Peres,difensore,1990-03-01,,,
42,Amadou,Diawara,centrocampista,1997-07-17,,,
7,Lorenzo,Pellegrini,centrocampista,1996-06-19,,,
4,Bryan,Cristante,centrocampista,1995-03-03,,,
21,Jordan,Veretout,centrocampista,1993-03-01,,,
14,Gonzalo,Villar,centrocampista,1998-03-23,,,
22,Nicolò,Zaniolo,centrocampista,1999-07-02,,,
77,Henrikh,Mkhitaryan,centrocampista,1989-01-21,,,
27,Javier,Pastore,centrocampista,1988-06-20,,,
99,Justin,Kluivert,attaccante,1999-05-05,,,
8,Diego,Perotti,attaccante,1988-07-26,,,
17,Cengiz,Under,attaccante,1997-07-14,,,
31,Carles,Perez,attaccante,1998-02-16,,,
9,Edin,Dzeko,attaccante,1986-03-17,,,
19,Nikola,Kalinic,attaccante,1988-01-05,,,
