nm,n,c,r,d,pg,g,a
99,Etrit,Berisha,portiere,1989-03-10,,,
25,Karlo,Letica,portiere,1997-02-11,,,
22,Demba,Thiam,portiere,1998-03-05,,,
23,Francesco,Vicari,difensore,1994-08-03,,,
41,Kevin,Bonifazi,difensore,1996-05-19,,,
87,Ervin,Zukanovic,difensore,1987-02-11,,,
4,Thiago,Cionek,difensore,1986-04-21,,,
40,Nenad,Tomovic,difensore,1987-08-30,,,
66,Bartosz,Salamon,difensore,1991-05-01,,,
27,,Felipe,difensore,1984-07-31,,,
67,Paolo,Cannistrà,difensore,2000-10-03,,,
13,Arkadiusz,Reca,difensore,1995-06-17,,,
98,Riccardo,Mastrilli,difensore,1997-05-30,,,
26,Jacopo,Sala,difensore,1991-12-05,,,
7,Simone,Missiroli,centrocampista,1986-05-23,,,
6,Mirko,Valdifiori,centrocampista,1989-04-09,,,
19,Lucas,Castro,centrocampista,1996-08-09,,,
11,Alessandro,Murgia,centrocampista,1992-02-18,,,
14,Bryan,Dabo,centrocampista,1993-09-06,,,
8,Mattia,Valoti,centrocampista,2001-04-17,,,
96,Georgi,Tunjov,centrocampista,1997-04-18,,,
21,Gabriel,Strefezza,centrocampista,1991-02-17,,,
77,Marco,D’Alessandro,centrocampista,1991-02-17,,,
93,Mohamed,Fares,centrocampista,1996-02-15,,,
31,Federico,Di Francesco,attaccante,1994-06-14,,,
37,Andrea,Petagna,attaccante,1995-06-30,,,
9,Alberto,Cerri,attaccante,1996-04-16,,,
10,Sergio,Floccari,attaccante,1981-11-12,,,
