nm,n,c,r,d,pg,g,a
1,Emil,Audero,portiere,1997-01-18,,,
22,Andrea,Seculin,portiere,1990-07-14,,,
30,Wladimiro,Falcone,portiere,1995-04-12,,,
15,Omar,Colley,difensore,1992-10-24,,,
34,Maya,Yoshida,difensore,1988-08-24,,,
5,Julian,Chabot,difensore,1998-02-12,,,
21,Lorenzo,Tonelli,difensore,1990-01-17,,,
25,Alex,Ferrari,difensore,1994-07-01,,,
29,Nicola,Murru,difensore,1994-12-16,,,
3,Tommaso,Augello,difensore,1994-08-30,,,
24,Bartosz,Bereszynski,difensore,1989-07-12,,,
12,Fabio,Depaoli,difensore,1995-02-02,,,
6,Albin,Ekdal,centrocampista,1989-07-28,,,
7,Karol,Linetty,centrocampista,1995-02-02,,,
14,jakub,Jankto,centrocampista,1996-01-19,,,
4,Ronaldo,Vieira,centrocampista,1998-07-19,,,
91,Andrea,Bertolacci,centrocampista,1991-01-11,,,
18,Morten,Thorsby,centrocampista,1996-05-05,,,
26,Maehdi,Leris,centrocampista,1998-05-23,,,
8,Edgar,Barreto,centrocampista,1984-07-15,,,
11,Gaston,Ramirez,centrocampista,1990-12-02,,,
20,Gonzalo,Maroni,centrocampista,1999-05-18,,,
23,Manolo,Gabbiadini,attaccante,1991-11-26,,,
17,Antonino,La Gumina,attaccante,1996-03-06,,,
9,Federico,Bonazzoli,attaccante,1997-05-21,,,
27,Fabio,Quagliarella,attaccante,1983-01-31,,,
