nm,n,c,r,d,pg,g,a
47,Andrea,Consigli,portiere,1987-01-27,,,
64,Alessandro,Russo,portiere,2001-03-31,,,
63,Stefano,Turati,portiere,2001-09-05,,,
56,Gianluca,Pegolo,portiere,1981-03-25,,,
31,Gian Marco,Ferrari,difensore,1992-05-15,,,
2,,Marlon,difensore,1995-09-07,,,
19,Filippo,Romagna,difensore,1997-05-26,,,
21,Vlad,Chiriches,difensore,1989-11-14,,,
32,Giangiacomo,Magnani,difensore,1995-10-04,,,
96,Leonardo,Fontanesi,difensore,1996-02-20,,,
6,,Rogerio,difensore,1998-01-13,,,
77,Georgios,Kyriakopoulos,difensore,1996-02-05,,,
13,Federico,Peluso,difensore,1984-01-20,,,
33,Alessandro,Trippardelli,difensore,1999-02-09,,,
17,Mert,Muldur,difensore,1999-04-03,,,
22,Jeremy,Toljan,difensore,1994-08-08,,,
4,Francesco,Magnanelli,centrocampista,1984-11-12,,,
73,Manuel,Locatelli,centrocampista,1998-01-08,,,
14,Pedro,Obiang,centrocampista,1992-03-27,,,
68,Mehdi,Bourabia,centrocampista,1991-08-07,,,
23,Hamed Junior,Traore,centrocampista,2000-02-16,,,
10,Filip,Djuricic,centrocampista,1992-01-30,,,
7,Jeremie,Boga,attaccante,1997-01-03,,,
28,Lukas,Haraslin,attaccante,1996-05-26,,,
25,Domenico,Berardi,attaccante,1994-08-01,,,
11,Greogoire,Defrel,attaccante,1991-06-17,,,
9,Francesco,Caputo,attaccante,1987-08-06,,,
18,Giacomo,Raspadori,attaccante,2000-02-18,,,
