nm,n,c,r,d,pg,g,a
39,Salvatore,Sirigu,portiere,1987-01-12,,,
18,Samir,Ujkani,portiere,1988-07-05,,,
25,Antonio,Rosati,portiere,1983-06-26,,,
5,Armando,Izzo,difensore,1992-03-02,,,
33,Nicolas,N’koulou,difensore,1990-03-27,,,
4,,Lyanco,difensore,1997-02-01,,,
36,,Bremer,difensore,1997-03-18,,,
30,Koffi,Djidji,difensore,1992-11-30,,,
17,Wilfied Stephane,Singo,difensore,2000-12-25,,,
15,Cristian,Ansaldi,difensore,1986-09-20,,,
34,Ola,Aina,difensore,1996-10-08,,,
29,Lorenzo,De Silvestri,difensore,1988-05-23,,,
88,Tomas,Rincon,centrocampista,1988-01-13,,,
8,Daniele,Baselli,centrocampista,1992-03-12,,,
23,Soualiho,Meite,centrocampista,1994-03-17,,,
7,Sasa,Lukic,centrocampista,1996-08-13,,,
21,Alex,Berenguer,attaccante,1995-07-04,,,
24,Simone,Verdi,attaccante,1992-07-12,,,
20,Simone,Edera,attaccante,1997-01-09,,,
22,Vincezo,Millico,attaccante,2000-08-12,,,
9,Andrea,Belotti,attaccante,1993-12-20,,,
11,Simone,Zaza,attaccante,1991-06-25,,,
